date,iso_code,country,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website,,,,,,,date
2021-01-27,ITA,Italy,1654820,1341966,312854,69941,49867,2.74,2.22,0.52,825,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv,,,,,,,2021-01-27
2021-01-28,ITA,Italy,1747256,1346279,400977,92436,58168,2.89,2.23,0.66,962,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv,,,,,,,2021-01-28
2021-01-29,ITA,Italy,1843308,1350697,492611,96052,68232,3.05,2.23,0.81,1129,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv,,,,,,,2021-01-29
2021-01-30,ITA,Italy,1931961,1354489,577472,88653,75435,3.2,2.24,0.96,1248,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv,,,,,,,2021-01-30
2021-01-31,ITA,Italy,1990931,1356939,633992,58970,79068,3.29,2.24,1.05,1308,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv,,,,,,,2021-01-31
2021-02-01,ITA,Italy,2074526,1361318,713208,83595,81268,3.43,2.25,1.18,1344,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv,,,,,,,2021-02-01
2021-02-02,ITA,Italy,2160287,1367366,792921,85761,82201,3.57,2.26,1.31,1360,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv,,,,,,,2021-02-02
2021-02-03,ITA,Italy,2256716,1376124,880592,96429,85985,3.73,2.28,1.46,1422,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv,,,,,,,2021-02-03
2021-02-04,ITA,Italy,2358211,1388431,969780,101495,87279,3.9,2.3,1.6,1444,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv,,,,,,,2021-02-04
2021-02-05,ITA,Italy,2457086,1404595,1052491,98875,87683,4.06,2.32,1.74,1450,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv,,,,,,,2021-02-05
2021-02-06,ITA,Italy,2530349,1418024,1112325,73263,85484,4.19,2.35,1.84,1414,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv,,,,,,,2021-02-06
2021-02-07,ITA,Italy,2569603,1426733,1142870,39254,82667,4.25,2.36,1.89,1367,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv,,,,,,,2021-02-07
2021-02-08,ITA,Italy,2630102,1451264,1178838,60499,79368,4.35,2.4,1.95,1313,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv,,,,,,,2021-02-08
2021-01-24,JEY,Jersey,11385,8334,3051,,,11.26,8.25,3.02,,Pfizer/BioNTech,Government of Jersey,https://www.gov.je/Health/Coronavirus/Vaccine/Pages/VaccinationStatistics.aspx,,,,,,,2021-01-24
2021-01-25,JEY,Jersey,,,,,493,,,,4878,Pfizer/BioNTech,Government of Jersey,https://www.gov.je/Health/Coronavirus/Vaccine/Pages/VaccinationStatistics.aspx,,,,,,,2021-01-25
2021-01-26,JEY,Jersey,,,,,493,,,,4878,Pfizer/BioNTech,Government of Jersey,https://www.gov.je/Health/Coronavirus/Vaccine/Pages/VaccinationStatistics.aspx,,,,,,,2021-01-26
2021-01-27,JEY,Jersey,,,,,493,,,,4878,Pfizer/BioNTech,Government of Jersey,https://www.gov.je/Health/Coronavirus/Vaccine/Pages/VaccinationStatistics.aspx,,,,,,,2021-01-27
2021-01-28,JEY,Jersey,,,,,493,,,,4878,Pfizer/BioNTech,Government of Jersey,https://www.gov.je/Health/Coronavirus/Vaccine/Pages/VaccinationStatistics.aspx,,,,,,,2021-01-28
2021-01-29,JEY,Jersey,,,,,493,,,,4878,Pfizer/BioNTech,Government of Jersey,https://www.gov.je/Health/Coronavirus/Vaccine/Pages/VaccinationStatistics.aspx,,,,,,,2021-01-29
2021-01-30,JEY,Jersey,,,,,493,,,,4878,Pfizer/BioNTech,Government of Jersey,https://www.gov.je/Health/Coronavirus/Vaccine/Pages/VaccinationStatistics.aspx,,,,,,,2021-01-30
2021-01-31,JEY,Jersey,14838,11707,3131,,493,14.68,11.58,3.1,4878,Pfizer/BioNTech,Government of Jersey,https://www.gov.je/Health/Coronavirus/Vaccine/Pages/VaccinationStatistics.aspx,,,,,,,2021-01-31
2020-12-28,KWT,Kuwait,2500,,,,,0.06,,,,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2020-12-28
2020-12-29,KWT,Kuwait,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2020-12-29
2020-12-30,KWT,Kuwait,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2020-12-30
2020-12-31,KWT,Kuwait,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2020-12-31
2021-01-01,KWT,Kuwait,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2021-01-01
2021-01-02,KWT,Kuwait,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2021-01-02
2021-01-03,KWT,Kuwait,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2021-01-03
2021-01-04,KWT,Kuwait,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2021-01-04
2021-01-05,KWT,Kuwait,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2021-01-05
2021-01-06,KWT,Kuwait,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2021-01-06
2021-01-07,KWT,Kuwait,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2021-01-07
2021-01-08,KWT,Kuwait,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2021-01-08
2021-01-09,KWT,Kuwait,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2021-01-09
2021-01-10,KWT,Kuwait,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2021-01-10
2021-01-11,KWT,Kuwait,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2021-01-11
2021-01-12,KWT,Kuwait,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2021-01-12
2021-01-13,KWT,Kuwait,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2021-01-13
2021-01-14,KWT,Kuwait,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2021-01-14
2021-01-15,KWT,Kuwait,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2021-01-15
2021-01-16,KWT,Kuwait,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2021-01-16
2021-01-17,KWT,Kuwait,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2021-01-17
2021-01-18,KWT,Kuwait,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2021-01-18
2021-01-19,KWT,Kuwait,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2021-01-19
2021-01-20,KWT,Kuwait,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2021-01-20
2021-01-21,KWT,Kuwait,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2021-01-21
2021-01-22,KWT,Kuwait,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2021-01-22
2021-01-23,KWT,Kuwait,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2021-01-23
2021-01-24,KWT,Kuwait,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2021-01-24
2021-01-25,KWT,Kuwait,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2021-01-25
2021-01-26,KWT,Kuwait,35000,,,,1121,0.82,,,262,Pfizer/BioNTech,Ministry of Health,https://gulfnews.com/world/gulf/kuwait/covid-19-35000-vaccinated-in-kuwait-in-one-month-1.76746518,,,,,,,2021-01-26
2020-12-28,LVA,Latvia,,595,,,,,0.03,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2020-12-28
2020-12-29,LVA,Latvia,,1468,,,,,0.08,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2020-12-29
2020-12-30,LVA,Latvia,,2261,,,,,0.12,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2020-12-30
2021-01-04,LVA,Latvia,,2960,,,,,0.16,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-01-04
2021-01-05,LVA,Latvia,,3849,,,,,0.2,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-01-05
2021-01-06,LVA,Latvia,,4625,,,,,0.25,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-01-06
2021-01-07,LVA,Latvia,,5434,,,,,0.29,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-01-07
2021-01-08,LVA,Latvia,,6339,,,,,0.34,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-01-08
2021-01-09,LVA,Latvia,,6644,,,,,0.35,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-01-09
2021-01-10,LVA,Latvia,,6980,,,,,0.37,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-01-10
2021-01-11,LVA,Latvia,,8346,,,,,0.44,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-01-11
2021-01-12,LVA,Latvia,,9973,,,,,0.53,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-01-12
2021-01-13,LVA,Latvia,,11480,,,,,0.61,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-01-13
2021-01-14,LVA,Latvia,,13300,,,,,0.71,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-01-14
2021-01-15,LVA,Latvia,,15168,,,,,0.8,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-01-15
2021-01-16,LVA,Latvia,,15834,,,,,0.84,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-01-16
2021-01-17,LVA,Latvia,,15951,,,,,0.85,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-01-17
2021-01-18,LVA,Latvia,16795,16224,571,,,0.89,0.86,0.03,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-01-18
2021-01-19,LVA,Latvia,17671,16296,1375,876,125,0.94,0.86,0.07,66,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-01-19
2021-01-20,LVA,Latvia,18441,16315,2126,770,235,0.98,0.86,0.11,125,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-01-20
2021-01-21,LVA,Latvia,18720,16581,2139,279,275,0.99,0.88,0.11,146,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-01-21
2021-01-22,LVA,Latvia,18933,16777,2156,213,305,1,0.89,0.11,162,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-01-22
2021-01-23,LVA,Latvia,,16902,,,343,,0.9,,182,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-01-23
2021-01-24,LVA,Latvia,,,,,381,,,,202,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-01-24
2021-01-25,LVA,Latvia,19725,16921,2804,,419,1.05,0.9,0.15,222,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-01-25
2021-01-26,LVA,Latvia,20573,16951,3622,848,415,1.09,0.9,0.19,220,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-01-26
2021-01-27,LVA,Latvia,21390,17032,4358,817,421,1.13,0.9,0.23,223,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-01-27
2021-01-28,LVA,Latvia,22169,17062,5107,779,493,1.18,0.9,0.27,261,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-01-28
2021-01-29,LVA,Latvia,23131,17116,6015,962,600,1.23,0.91,0.32,318,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-01-29
2021-01-30,LVA,Latvia,23439,17120,6319,308,606,1.24,0.91,0.34,321,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-01-30
2021-01-31,LVA,Latvia,,,6653,,677,,,0.35,359,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-01-31
2021-02-01,LVA,Latvia,24959,17134,7825,,748,1.32,0.91,0.41,397,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-02-01
2021-02-02,LVA,Latvia,26767,17269,9498,1808,885,1.42,0.92,0.5,469,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-02-02
2021-02-03,LVA,Latvia,28385,17509,10876,1618,999,1.5,0.93,0.58,530,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-02-03
2021-02-04,LVA,Latvia,29888,17650,12238,1503,1103,1.58,0.94,0.65,585,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-02-04
2021-02-05,LVA,Latvia,31501,17797,13704,1613,1196,1.67,0.94,0.73,634,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-02-05
2021-02-06,LVA,Latvia,32067,17807,14260,566,1233,1.7,0.94,0.76,654,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-02-06
2021-02-07,LVA,Latvia,32192,17809,14383,125,1142,1.71,0.94,0.76,605,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-02-07
2021-02-08,LVA,Latvia,32603,18065,14538,411,1092,1.73,0.96,0.77,579,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas,,,,,,,2021-02-08
2021-02-03,LIE,Liechtenstein,833,,,,,2.18,,,,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL,,,,,,,2021-02-03
2020-12-27,LTU,Lithuania,2418,2418,,,,0.09,0.09,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460,,,,,,,2020-12-27
2020-12-28,LTU,Lithuania,5203,5203,,2785,2785,0.19,0.19,,1023,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460,,,,,,,2020-12-28
2020-12-29,LTU,Lithuania,8189,8189,,2986,2886,0.3,0.3,,1060,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460,,,,,,,2020-12-29
2020-12-30,LTU,Lithuania,9722,9722,,1533,2435,0.36,0.36,,894,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460,,,,,,,2020-12-30
2020-12-31,LTU,Lithuania,9747,9747,,25,1832,0.36,0.36,,673,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460,,,,,,,2020-12-31
2021-01-01,LTU,Lithuania,,,,,1491,,,,548,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460,,,,,,,2021-01-01
2021-01-02,LTU,Lithuania,,,,,1263,,,,464,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460,,,,,,,2021-01-02
2021-01-03,LTU,Lithuania,,,,,1100,,,,404,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460,,,,,,,2021-01-03
2021-01-04,LTU,Lithuania,,,,,720,,,,264,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460,,,,,,,2021-01-04
2021-01-05,LTU,Lithuania,10369,10369,,,311,0.38,0.38,,114,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460,,,,,,,2021-01-05
2021-01-06,LTU,Lithuania,13866,13866,,3497,592,0.51,0.51,,217,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460,,,,,,,2021-01-06
2021-01-07,LTU,Lithuania,18020,18020,,4154,1182,0.66,0.66,,434,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460,,,,,,,2021-01-07
2021-01-08,LTU,Lithuania,23190,23190,,5170,1903,0.85,0.85,,699,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460,,,,,,,2021-01-08
2021-01-09,LTU,Lithuania,23494,23494,,304,1928,0.86,0.86,,708,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460,,,,,,,2021-01-09
2021-01-10,LTU,Lithuania,23497,23497,,3,1911,0.86,0.86,,702,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460,,,,,,,2021-01-10
2021-01-11,LTU,Lithuania,25704,25704,,2207,2208,0.94,0.94,,811,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460,,,,,,,2021-01-11
2021-01-12,LTU,Lithuania,27789,27789,,2085,2489,1.02,1.02,,914,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460,,,,,,,2021-01-12
